url,img_url,brand,title,from,to
https://www.dafiti.com.br/Tenis-DAFITI-SHOES-Suede-Preto-5930119.html,https://t-static.dafiti.com.br/XZLtbvy8AexrEmzPwMpmnyHDEL0=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-t%25c3%25aanis-dafiti-shoes-suede-preto-6942-9110395-1-product.jpg,DAFITI SHOES,Tênis DAFITI SHOES Suede Preto,"R$ 79,90","R$ 54,99"
https://www.dafiti.com.br/Tenis-DC-Shoes-Dc-Shoes-Plaza-Lite-Branco-5016288.html,https://t-static.dafiti.com.br/7xZH-z5wb7wsQ4hKr9e1Gsg8HB0=/fit-in/333x483/static.dafiti.com.br/p/dc-shoes-t%25c3%25aanis-dc-shoes-dc-shoes-plaza-lite-branco-1944-8826105-1-product.jpg,DC Shoes,Tênis DC Shoes Dc Shoes Plaza Lite Branco,"R$ 249,90","R$ 144,99"
https://www.dafiti.com.br/Tenis-Jogging-DAFITI-SHOES-Recortes-Preto-5036301.html,https://t-static.dafiti.com.br/eY4KwzNXmMlQ_FioGjl9rRqUXQc=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-t%25c3%25aanis-jogging-dafiti-shoes-recortes-preto-0965-1036305-1-product.jpg,DAFITI SHOES,Tênis Jogging DAFITI SHOES Recortes Preto,"R$ 129,90","R$ 119,99"
https://www.dafiti.com.br/Tenis-Casual-Mule-Platform-Feminino-JL-SHOES-Branco-5697649.html,https://t-static.dafiti.com.br/e6vFYz6UJdgL9SIq8oEe_nKUDVg=/fit-in/333x483/static.dafiti.com.br/p/jl-shoes-t%25c3%25aanis-casual-mule-platform-feminino-jl-shoes-branco-7363-9467965-1-product.jpg,JL SHOES,Tênis Casual Mule Platform Feminino JL S...,"R$ 149,90","R$ 89,90"
https://www.dafiti.com.br/Tenis-Mule-Casual-Macio-JL-SHOES-Preto-5993961.html,https://t-static.dafiti.com.br/X1nAoa5GGvmK7_J3ptUBTdqQT_4=/fit-in/333x483/static.dafiti.com.br/p/jl-shoes-t%25c3%25aanis-mule-casual-macio-jl-shoes-preto-5803-1693995-1-product.jpg,JL SHOES,Tênis Mule Casual Macio JL SHOES Preto,"R$ 159,90","R$ 69,90"
https://www.dafiti.com.br/Kit-OUSY-SHOES-Slip-On-Sola-Trice-%2B-Bolsa-Tampa-Metalasse-Lancamento-Preto-5156267.html,https://t-static.dafiti.com.br/FVZiiqpFr0Sqh_C5yD4FArb6kNI=/fit-in/333x483/static.dafiti.com.br/p/ousy-shoes-kit-ousy-shoes-slip-on-sola-tric%25c3%25aa-%252b-bolsa-tampa-metalasse-lan%25c3%25a7amento-preto-0704-7626515-1-product.jpg,OUSY SHOES,Kit OUSY SHOES Slip On Sola Tricê + Bols...,"R$ 299,98","R$ 159,90"
https://www.dafiti.com.br/Slip-On-DAFITI-SHOES-Croco-Preto-4655585.html,https://t-static.dafiti.com.br/_mXKXz3cYd5vGK34M941ZRPb_F8=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-slip-on-dafiti-shoes-croco-preto-0435-5855564-1-product.jpg,DAFITI SHOES,Slip On DAFITI SHOES Croco Preto,"R$ 99,90","R$ 59,99"
https://www.dafiti.com.br/Tenis-Jogging-DAFITI-SHOES-Recortes-Preto-5036295.html,https://t-static.dafiti.com.br/T50yqcicMrCC5qt89YWt1Vsvgl4=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-t%25c3%25aanis-jogging-dafiti-shoes-recortes-preto-8152-5926305-1-product.jpg,DAFITI SHOES,Tênis Jogging DAFITI SHOES Recortes Preto,"R$ 129,90","R$ 74,99"
https://www.dafiti.com.br/Tenis-DAFITI-SHOES-Recortes-Preto-3397955.html,https://t-static.dafiti.com.br/A4F4sbCMqS3SqbkyrSSnMr0LR0g=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-t%25c3%25aanis-dafiti-shoes-recortes-preto-7100-5597933-1-product.jpg,DAFITI SHOES,Tênis DAFITI SHOES Recortes Preto,"R$ 129,90","R$ 79,99"
https://www.dafiti.com.br/Tenis-Navit-Shoes-Caminhada-Leve-Preto-5230226.html,https://t-static.dafiti.com.br/c36dCw9SVy8SnTxCHtHpXzub80s=/fit-in/333x483/static.dafiti.com.br/p/navit-shoes-t%25c3%25aanis-navit-shoes-caminhada-leve-preto-4157-6220325-1-product.jpg,Navit Shoes,Tênis Navit Shoes Caminhada Leve Preto,"R$ 269,90","R$ 79,90"
